species	code	complete	single	duplicated	fragmented	missing
Capsaspora owczarzaki	01_COWC	74.90%	68.70%	6.20%	3.60%	21.50%
Monosiga brevicollis	02_MBRE	68.70%	68.00%	0.70%	4.80%	26.50%
Salpingoeca rosetta	03_SROS	66.10%	65.50%	0.60%	6.90%	27.00%
Aphrocallistes vastus	04_AVAS	80.30%	78.60%	1.70%	2.30%	17.40%
Amphimedon queenslandica	05_AQUE	89.90%	84.40%	5.50%	4.20%	5.90%
Ephydatia muelleri	06_EMUE	70.50%	58.10%	12.40%	6.90%	22.60%
Sycon ciliatum	07_SCIL	72.50%	70.40%	2.10%	10.80%	16.70%
Hoilungia hongkongensis	08_HHON	91.90%	89.20%	2.70%	1.00%	7.10%
Trichoplax adhaerens	09_TADH	91.70%	90.70%	1.00%	2.70%	5.60%
Branchiostoma floridae	10_BFLO	88.70%	88.10%	0.60%	5.10%	6.20%
Homo sapiens	11_HSAP	100.00%	98.80%	1.20%	0.00%	0.00%
Caenorhabditis elegans	12_CELE	78.50%	51.70%	26.80%	2.10%	19.40%
Aaptos sp	DEM01_AASP	9.10%	7.20%	1.90%	10.30%	80.60%
Forcepia sp	DEM02_FOSP	61.80%	52.90%	8.90%	21.00%	17.20%
Latrunculid indet (Pheronema sp)	DEM03_LAIN	65.80%	46.50%	19.30%	12.40%	21.80%
Latrunculid sp (Latrunculid1)	DEM04_LASP	91.90%	22.40%	69.50%	3.40%	4.70%
Lithistid sp	DEM05_LISP	87.30%	32.40%	54.90%	6.90%	5.80%
Myxilla sp	DEM06_MYSP	48.70%	44.20%	4.50%	25.80%	25.50%
Stelligera sp	DEM07_STSP	43.10%	39.30%	3.80%	29.40%	27.50%
Tedania sp	DEM08_TESP	41.40%	36.40%	5.00%	23.90%	34.70%
Tentorium papillatum	DEM09_TPAP	46.00%	41.00%	5.00%	26.50%	27.50%
Amphidiscella abyssalis	HEX01_AABY	35.30%	31.40%	3.90%	22.10%	42.60%
Aulocalyx serialis	HEX02_ASER	76.20%	48.50%	27.70%	7.20%	16.60%
Bolosoma cyanae	HEX03_BCYA	70.20%	57.20%	13.00%	9.90%	19.90%
Caulophacus discohexaster	HEX04_CDIS	73.50%	52.10%	21.40%	7.40%	19.10%
Chaunoplectella sp	HEX05_CHSP	71.20%	43.20%	28.00%	10.20%	18.60%
Eurete sp	HEX06_EUSP	79.20%	67.80%	11.40%	3.70%	17.10%
Farrea occa	HEX07_FOCC	79.00%	69.30%	9.70%	4.10%	16.90%
Farrea similaris	HEX08_FSIM	17.90%	15.20%	2.70%	22.00%	60.10%
Lanuginellinae sp	HEX09_LASP	70.00%	54.00%	16.00%	9.90%	20.10%
Regadrella okinoseana	HEX10_ROKI	81.60%	61.80%	19.80%	3.70%	14.70%
Saccocalyx tetractinus	HEX11_STET	37.50%	34.30%	3.20%	22.00%	40.50%
Trychella sp	HEX12_TRSP	74.80%	65.20%	9.60%	6.50%	18.70%
Corbitella sp	HEX13_COSP	25.60%	22.70%	2.90%	21.90%	52.50%
Walteria leuckarti	HEX14_WLEU	65.40%	36.40%	29.00%	14.00%	20.60%
